Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::resolve_conj,,,7.11,7.11,0,0,0,0
aten::resolve_neg,,,1.4,1.4,0,0,0,0
aten::to,,,4.75,121.75,0,0,0,0
aten::_to_copy,,,20.54,117.0,0,0,0,0
aten::empty,,,15.09,15.09,0,0,0,0
aten::copy_,,,81.37,81.37,0,0,0,0
aten::resolve_conj,,,1.22,1.22,0,0,0,0
aten::resolve_neg,,,0.89,0.89,0,0,0,0
aten::to,,,1.27,359.44,0,0,0,0
aten::_to_copy,,,5.86,358.17,0,0,0,0
aten::empty,,,4.19,4.19,0,0,0,0
aten::copy_,,,348.12,348.12,0,0,0,0
aten::resolve_conj,,,0.9,0.9,0,0,0,0
aten::resolve_neg,,,0.79,0.79,0,0,0,0
aten::to,,,1.22,360.15,0,0,0,0
aten::_to_copy,,,5.4,358.93,0,0,0,0
aten::empty,,,3.38,3.38,0,0,0,0
aten::copy_,,,350.15,350.15,0,0,0,0
aten::resolve_conj,,,0.8,0.8,0,0,0,0
aten::resolve_neg,,,0.39,0.39,0,0,0,0
aten::to,,,1.02,358.45,0,0,0,0
aten::_to_copy,,,5.07,357.43,0,0,0,0
aten::empty,,,3.45,3.45,0,0,0,0
aten::copy_,,,348.91,348.91,0,0,0,0
aten::resolve_conj,,,0.9,0.9,0,0,0,0
aten::resolve_neg,,,0.36,0.36,0,0,0,0
aten::to,,,1.05,357.54,0,0,0,0
aten::_to_copy,,,4.6,356.49,0,0,0,0
aten::empty,,,2.99,2.99,0,0,0,0
aten::copy_,,,348.9,348.9,0,0,0,0
