Device_id,Level,API Name,Time(us),Count,Avg(us),Min(us),Max(us),Variance
host,acl,aclnnArange,125.28,5,25.056,9.67,76.05,652.759
host,acl,aclnnClampMin,53.76,5,10.752,7.44,13.12,4.947
host,acl,aclnnInplaceFillScalar,64.39,5,12.878,10.78,18.7,8.701
host,acl,aclnnMuls,58.56,5,11.712,7.15,25.57,48.447
host,acl,aclrtGetCurrentContext,9.7,15,0.647,0.3,2.03,0.218
host,acl,aclrtGetFunctionName,3.88,5,0.776,0.53,1.56,0.155
host,acl,aclrtGetStreamAttribute,12.72,20,0.636,0.39,2.78,0.258
host,acl,aclrtKernelArgsAppend,4.96,5,0.992,0.55,2.65,0.688
host,acl,aclrtLaunchKernelWithConfig,58.26,5,11.652,6.84,22.26,33.132
host,acl,aclrtLaunchKernelWithHostArgs,180.84,25,7.234,3.52,31.59,32.522
host,acl,aclrtQueryEventStatus,29.88,12,2.49,1.09,7.4,4.063
host,acl,aclrtRecordEvent,292.99,25,11.72,4.29,63.05,155.056
host,acl,aclrtRegisterCpuFunc,11.05,5,2.21,1.45,4.39,1.229
host,acl,aclrtSetCurrentContext,19.29,30,0.643,0.35,2.41,0.186
host,acl,aclrtStreamWaitEvent,64.92,10,6.492,3.48,14.43,8.649
host,acl,aclrtSynchronizeDeviceWithTimeout,44.84,1,44.84,44.84,44.84,0
host,node,launch,441.32,30,14.711,4.54,63.77,178.77
