Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,498,92,aclnnArange_ArangeAiCore_Range,Range,dynamic,AI_VECTOR_CORE,1788939200898744.256	,10.720,0,40,0,NO,""";;""",DOUBLE;DOUBLE;DOUBLE,ND;ND;ND,"""9""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.714,443115,0.029,0.004,0.212,0.032,0.117,0.017,0.029,0.004,0.256,0.000
0,4294967295,499,92,aclnnMuls_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1788939200898867.440	,1.480,112.530000,1,0,NO,"""9;""",INT32;INT32,ND;ND,"""9""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.986,1627,0.038,0.039,0.421,0.427,0.247,0.251,0.127,0.129,0.141,0.000
0,4294967295,500,92,aclnnClampMin_ClipByValueV2AiCore_ClipByValueV2,ClipByValueV2,dynamic,AI_VECTOR_CORE,1788939200899076.684	,2.480,207.770000,1,0,NO,"""8;;""",INT32;INT32;INT32,ND;ND;ND,"""8""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.984,3273,0.132,0.067,0.67,0.338,0.312,0.157,0.128,0.065,0.213,0.000
0,4294967295,7,83,_Z17ComputeFAMetadataPv,_Z17ComputeFAMetadataPv,dynamic,AI_CPU,1788939200899325.368	,30.100,246.020000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,503,92,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1788939200899598.376	,1.400,243.150000,1,0,NO,"""2;""",INT64;FLOAT,ND;ND,"""16,32""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.901,1486,0.035,0.039,0.376,0.418,0.105,0.117,0.128,0.142,0.206,0.000
0,4294967295,504,92,_ZN9SplitFuse7FAInferIu6__bf16u6__bf16fLb1ELN12KernelCommon8FaiKenel8MaskTypeE0ELNS2_11inputLayoutE1ELN7Catlass8Epilogue8LseModeTE1ELb0EEEvmPhS8_S8_S8_S8_S8_S8_S8_S8_S8_S8_,_ZN9SplitFuse7FAInferIu6__bf16u6__bf16fLb1ELN12KernelCommon8FaiKenel8MaskTypeE0ELNS2_11inputLayoutE1ELN7Catlass8Epilogue8LseModeTE1ELb0EEEvmPhS8_S8_S8_S8_S8_S8_S8_S8_S8_S8_,dynamic,MIX_AIC,1788939200899623.696	,28.120,23.850000,20,40,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,17.942,592079,0.414,0.023,13.626,0.759,0.744,0.041,7.097,0.396,1.637,0.091,0.0,21.786,1437895,0.77,0.035,8.042,0.369,0.674,0.031,1.449,0.067,0.227,63.804
0,4294967295,505,92,aclnnArange_ArangeAiCore_Range,Range,dynamic,AI_VECTOR_CORE,1788939200899895.240	,10.720,243.380000,40,0,NO,""";;""",DOUBLE;DOUBLE;DOUBLE,ND;ND;ND,"""9""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.669,440147,0.029,0.004,0.19,0.029,0.103,0.015,0.027,0.004,0.265,0.000
0,4294967295,506,92,aclnnMuls_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1788939200899946.000	,1.900,40.030000,1,0,NO,"""9;""",INT32;INT32,ND;ND,"""9""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41,2326,0.038,0.027,0.378,0.268,0.212,0.15,0.137,0.097,0.148,0.000
0,4294967295,507,92,aclnnClampMin_ClipByValueV2AiCore_ClipByValueV2,ClipByValueV2,dynamic,AI_VECTOR_CORE,1788939200900001.524	,2.500,53.600000,1,0,NO,"""8;;""",INT32;INT32;INT32,ND;ND;ND,"""8""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.997,3295,0.132,0.066,0.675,0.338,0.335,0.168,0.127,0.063,0.221,0.000
0,4294967295,7,89,_Z17ComputeFAMetadataPv,_Z17ComputeFAMetadataPv,dynamic,AI_CPU,1788939200900103.444	,23.000,99.500000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,510,92,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1788939200900273.748	,1.400,147.250000,1,0,NO,"""2;""",INT64;FLOAT,ND;ND,"""16,32""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.876,1445,0.035,0.04,0.367,0.419,0.103,0.118,0.133,0.152,0.206,0.000
0,4294967295,511,92,_ZN9SplitFuse7FAInferIu6__bf16u6__bf16fLb1ELN12KernelCommon8FaiKenel8MaskTypeE0ELNS2_11inputLayoutE1ELN7Catlass8Epilogue8LseModeTE1ELb0EEEvmPhS8_S8_S8_S8_S8_S8_S8_S8_S8_S8_,_ZN9SplitFuse7FAInferIu6__bf16u6__bf16fLb1ELN12KernelCommon8FaiKenel8MaskTypeE0ELNS2_11inputLayoutE1ELN7Catlass8Epilogue8LseModeTE1ELb0EEEvmPhS8_S8_S8_S8_S8_S8_S8_S8_S8_S8_,dynamic,MIX_AIC,1788939200900292.868	,27.340,17.600000,20,40,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,16.551,546177,0.413,0.025,12.311,0.744,0.739,0.045,6.666,0.403,1.466,0.089,0.0,20.913,1380238,0.77,0.037,7.226,0.346,0.61,0.029,2.292,0.11,0.229,60.537
0,4294967295,512,92,aclnnArange_ArangeAiCore_Range,Range,dynamic,AI_VECTOR_CORE,1788939200900457.932	,10.620,137.910000,40,0,NO,""";;""",DOUBLE;DOUBLE;DOUBLE,ND;ND;ND,"""9""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.654,439162,0.029,0.004,0.206,0.031,0.114,0.017,0.027,0.004,0.288,0.000
0,4294967295,513,92,aclnnMuls_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1788939200900489.952	,1.380,21.380000,1,0,NO,"""9;""",INT32;INT32,ND;ND,"""9""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.856,1412,0.038,0.045,0.365,0.427,0.182,0.212,0.145,0.169,0.159,0.000
