Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::arange,,,60.83,124.57,0,10.72,0,0
empty_tensor,,,45.68,45.68,0,0,0,0
aclnnArange,,,18.06,18.06,10.72,10.72,0,0
aten::mul,,,88.44,174.12,0,1.48,0,0
empty_tensor,,,6.49,6.49,0,0,0,0
aten::item,,,8.03,64.87,0,0,0,0
aten::_local_scalar_dense,,,56.84,56.84,0,0,0,0
aclnnMuls,,,14.32,14.32,1.48,1.48,0,0
aten::to,,,3.6,3.6,0,0,0,0
aten::clamp_min,,,33.36,74.53,0,2.48,0,0
empty_tensor,,,33.54,33.54,0,0,0,0
aclnnClampMin,,,7.63,7.63,2.48,2.48,0,0
aten::empty,,,5.78,13.97,0,0,0,0
empty_tensor,,,8.19,8.19,0,0,0,0
ascendc_fa_metadata,,,5.83,5.83,42.58,42.58,0,0
FlashAttnVarlenFunc,,,128.54,422.27,0,29.52,0,0
flash_attn_npu_4::_flash_attn_forward,,,217.12,293.73,0,29.52,0,0
aten::empty_like,,,14.59,27.27,0,0,0,0
empty_tensor,,,12.68,12.68,0,0,0,0
aten::empty,,,1.9,5.5,0,0,0,0
empty_tensor,,,3.6,3.6,0,0,0,0
aten::empty,,,0.87,4.12,0,0,0,0
empty_tensor,,,3.25,3.25,0,0,0,0
aten::fill_,,,19.18,26.93,0,1.4,0,0
aclnnInplaceFillScalar,,,7.75,7.75,1.4,1.4,0,0
aten::empty,,,1.34,10.89,0,0,0,0
empty_tensor,,,9.55,9.55,0,0,0,0
ascendc_fa_infer,,,1.9,1.9,28.12,28.12,0,0
aten::view,,,21.72,21.72,0,0,0,0
record_event,,,19.03,19.03,0.0,0.0,0,0
record_event,,,2.94,2.94,0.0,0.0,0,0
record_event,,,2.34,2.34,0.02,0.02,0,0
aten::arange,,,21.86,54.61,0,10.72,0,0
empty_tensor,,,25.63,25.63,0,0,0,0
aclnnArange,,,7.12,7.12,10.72,10.72,0,0
aten::mul,,,20.22,35.45,0,1.9,0,0
empty_tensor,,,4.59,4.59,0,0,0,0
aten::item,,,3.08,4.67,0,0,0,0
aten::_local_scalar_dense,,,1.59,1.59,0,0,0,0
aclnnMuls,,,5.97,5.97,1.9,1.9,0,0
aten::to,,,1.07,1.07,0,0,0,0
aten::clamp_min,,,9.48,19.87,0,2.5,0,0
empty_tensor,,,4.69,4.69,0,0,0,0
aclnnClampMin,,,5.7,5.7,2.5,2.5,0,0
aten::empty,,,2.07,6.77,0,0,0,0
