Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::resolve_conj,,,5.66,5.66,0,0,0,0
aten::resolve_neg,,,3.02,3.02,0,0,0,0
aten::to,,,5.15,160.51,0,0,0,0
aten::_to_copy,,,24.7,155.36,0,0,0,0
aten::empty,,,17.79,17.79,0,0,0,0
aten::copy_,,,112.87,112.87,0,0,0,0
npu::npu_fused_infer_attention_score,,,228.98,299.54,0,25.864,0,0
empty_tensor,,,45.77,45.77,0,0,0,0
empty_tensor,,,4.05,4.05,0,0,0,0
empty_tensor,,,2.72,2.72,0,0,0,0
empty_tensor,,,1.87,1.87,0,0,0,0
aclnnFusedInferAttentionScoreV3,,,16.15,16.15,25.864,25.864,0,0
aten::view,,,27.04,27.04,0,0,0,0
aten::resolve_conj,,,0.74,0.74,0,0,0,0
aten::resolve_neg,,,0.32,0.32,0,0,0,0
aten::to,,,1.53,73.97,0,0,0,0
aten::_to_copy,,,5.5,72.44,0,0,0,0
aten::empty,,,6.9,6.9,0,0,0,0
aten::copy_,,,60.04,60.04,0,0,0,0
npu::npu_fused_infer_attention_score,,,74.27,103.77,0,23.02,0,0
empty_tensor,,,10.6,10.6,0,0,0,0
empty_tensor,,,2.42,2.42,0,0,0,0
empty_tensor,,,2.34,2.34,0,0,0,0
empty_tensor,,,1.28,1.28,0,0,0,0
aclnnFusedInferAttentionScoreV3,,,12.86,12.86,23.02,23.02,0,0
aten::view,,,9.09,9.09,0,0,0,0
aten::resolve_conj,,,0.59,0.59,0,0,0,0
aten::resolve_neg,,,0.31,0.31,0,0,0,0
aten::to,,,1.36,61.38,0,0,0,0
aten::_to_copy,,,5.97,60.02,0,0,0,0
aten::empty,,,3.44,3.44,0,0,0,0
aten::copy_,,,50.61,50.61,0,0,0,0
npu::npu_fused_infer_attention_score,,,73.12,104.0,0,22.964,0,0
empty_tensor,,,10.03,10.03,0,0,0,0
empty_tensor,,,2.81,2.81,0,0,0,0
empty_tensor,,,2.13,2.13,0,0,0,0
empty_tensor,,,6.64,6.64,0,0,0,0
aclnnFusedInferAttentionScoreV3,,,9.27,9.27,22.964,22.964,0,0
aten::view,,,9.05,9.05,0,0,0,0
aten::resolve_conj,,,0.52,0.52,0,0,0,0
aten::resolve_neg,,,0.33,0.33,0,0,0,0
aten::to,,,1.43,61.95,0,0,0,0
aten::_to_copy,,,5.13,60.52,0,0,0,0
aten::empty,,,4.07,4.07,0,0,0,0
aten::copy_,,,51.32,51.32,0,0,0,0
npu::npu_fused_infer_attention_score,,,70.0,99.21,0,22.78,0,0
empty_tensor,,,13.98,13.98,0,0,0,0
empty_tensor,,,2.77,2.77,0,0,0,0
empty_tensor,,,2.24,2.24,0,0,0,0
empty_tensor,,,1.45,1.45,0,0,0,0
aclnnFusedInferAttentionScoreV3,,,8.77,8.77,22.78,22.78,0,0
aten::view,,,9.05,9.05,0,0,0,0
aten::resolve_conj,,,0.55,0.55,0,0,0,0
aten::resolve_neg,,,0.31,0.31,0,0,0,0
aten::to,,,1.62,63.31,0,0,0,0
aten::_to_copy,,,5.16,61.69,0,0,0,0
aten::empty,,,3.17,3.17,0,0,0,0
aten::copy_,,,53.36,53.36,0,0,0,0
npu::npu_fused_infer_attention_score,,,69.91,94.37,0,23.04,0,0
empty_tensor,,,10.02,10.02,0,0,0,0
empty_tensor,,,2.33,2.33,0,0,0,0
empty_tensor,,,2.3,2.3,0,0,0,0
empty_tensor,,,1.23,1.23,0,0,0,0
aclnnFusedInferAttentionScoreV3,,,8.58,8.58,23.04,23.04,0,0
aten::view,,,14.55,14.55,0,0,0,0
