Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,376,92,aclnnClampMin_ClipByValueV2AiCore_ClipByValueV2,ClipByValueV2,dynamic,AI_VECTOR_CORE,1788940802900006.466	,2.160,0,1,0,NO,"""8;;""",INT32;INT32;INT32,ND;ND;ND,"""8""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.687,2784,0.132,0.078,0.667,0.395,0.319,0.189,0.119,0.071,0.175,0.000
0,4294967295,6,83,_Z17ComputeFAMetadataPv,_Z17ComputeFAMetadataPv,dynamic,AI_CPU,1788940802900163.230	,24.600,154.590000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,379,92,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1788940802900451.154	,1.380,263.400000,1,0,NO,"""2;""",INT64;FLOAT,ND;ND,"""32,32""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.888,1466,0.04,0.045,0.373,0.42,0.105,0.118,0.136,0.153,0.183,0.000
0,4294967295,380,92,_ZN9SplitFuse7FAInferIu6__bf16u6__bf16fLb1ELN12KernelCommon8FaiKenel8MaskTypeE0ELNS2_11inputLayoutE1ELN7Catlass8Epilogue8LseModeTE1ELb0EEEvmPhS8_S8_S8_S8_S8_S8_S8_S8_S8_S8_,_ZN9SplitFuse7FAInferIu6__bf16u6__bf16fLb1ELN12KernelCommon8FaiKenel8MaskTypeE0ELNS2_11inputLayoutE1ELN7Catlass8Epilogue8LseModeTE1ELb0EEEvmPhS8_S8_S8_S8_S8_S8_S8_S8_S8_S8_,dynamic,MIX_AIC,1788940802900486.474	,67.244,33.870000,20,40,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,55.396,1828061,7.471,0.135,40.738,0.735,22.309,0.403,42.794,0.773,12.982,0.234,0.0,56.847,3751906,5.596,0.098,18.107,0.319,5.765,0.101,4.077,0.072,0.088,82.380
0,4294967295,381,92,aclnnClampMin_ClipByValueV2AiCore_ClipByValueV2,ClipByValueV2,dynamic,AI_VECTOR_CORE,1788940802900838.002	,2.180,284.256000,1,0,NO,"""8;;""",INT32;INT32;INT32,ND;ND;ND,"""8""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.693,2793,0.132,0.078,0.667,0.394,0.328,0.194,0.133,0.078,0.172,0.000
0,4294967295,6,89,_Z17ComputeFAMetadataPv,_Z17ComputeFAMetadataPv,dynamic,AI_CPU,1788940802900929.886	,18.860,89.820000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,384,92,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1788940802901114.870	,1.440,165.890000,1,0,NO,"""2;""",INT64;FLOAT,ND;ND,"""32,32""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.915,1510,0.04,0.044,0.405,0.443,0.088,0.097,0.144,0.157,0.183,0.000
0,4294967295,385,92,_ZN9SplitFuse7FAInferIu6__bf16u6__bf16fLb1ELN12KernelCommon8FaiKenel8MaskTypeE0ELNS2_11inputLayoutE1ELN7Catlass8Epilogue8LseModeTE1ELb0EEEvmPhS8_S8_S8_S8_S8_S8_S8_S8_S8_S8_,_ZN9SplitFuse7FAInferIu6__bf16u6__bf16fLb1ELN12KernelCommon8FaiKenel8MaskTypeE0ELNS2_11inputLayoutE1ELN7Catlass8Epilogue8LseModeTE1ELb0EEEvmPhS8_S8_S8_S8_S8_S8_S8_S8_S8_S8_,dynamic,MIX_AIC,1788940802901136.910	,69.240,20.810000,20,40,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,57.272,1889974,7.471,0.13,41.726,0.729,22.241,0.388,44.8,0.782,13.138,0.229,0.0,58.763,3878387,5.596,0.095,18.785,0.32,6.258,0.106,4.218,0.072,0.088,82.715
0,4294967295,386,92,aclnnClampMin_ClipByValueV2AiCore_ClipByValueV2,ClipByValueV2,dynamic,AI_VECTOR_CORE,1788940802901339.834	,2.200,133.510000,1,0,NO,"""8;;""",INT32;INT32;INT32,ND;ND;ND,"""8""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.664,2745,0.132,0.079,0.688,0.413,0.323,0.194,0.122,0.074,0.183,0.000
0,4294967295,11,95,_Z17ComputeFAMetadataPv,_Z17ComputeFAMetadataPv,dynamic,AI_CPU,1788940802901431.654	,24.420,89.800000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,389,92,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1788940802901611.538	,1.460,155.330000,1,0,NO,"""2;""",INT64;FLOAT,ND;ND,"""32,32""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976,1610,0.04,0.041,0.395,0.405,0.119,0.122,0.142,0.145,0.184,0.000
0,4294967295,390,92,_ZN9SplitFuse7FAInferIu6__bf16u6__bf16fLb1ELN12KernelCommon8FaiKenel8MaskTypeE0ELNS2_11inputLayoutE1ELN7Catlass8Epilogue8LseModeTE1ELb0EEEvmPhS8_S8_S8_S8_S8_S8_S8_S8_S8_S8_,_ZN9SplitFuse7FAInferIu6__bf16u6__bf16fLb1ELN12KernelCommon8FaiKenel8MaskTypeE0ELNS2_11inputLayoutE1ELN7Catlass8Epilogue8LseModeTE1ELb0EEEvmPhS8_S8_S8_S8_S8_S8_S8_S8_S8_S8_,dynamic,MIX_AIC,1788940802901633.018	,69.104,20.040000,20,40,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,57.448,1895770,7.471,0.13,41.562,0.723,22.307,0.388,44.497,0.775,13.347,0.232,0.0,58.91,3888047,5.597,0.095,18.618,0.316,6.242,0.106,4.149,0.07,0.087,83.132
0,4294967295,391,92,aclnnClampMin_ClipByValueV2AiCore_ClipByValueV2,ClipByValueV2,dynamic,AI_VECTOR_CORE,1788940802901859.202	,2.160,157.146000,1,0,NO,"""8;;""",INT32;INT32;INT32,ND;ND;ND,"""8""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.675,2763,0.132,0.079,0.638,0.381,0.286,0.171,0.147,0.088,0.172,0.000
0,4294967295,11,96,_Z17ComputeFAMetadataPv,_Z17ComputeFAMetadataPv,dynamic,AI_CPU,1788940802901949.686	,15.900,88.340000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,394,92,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1788940802902456.314	,1.400,490.600000,1,0,NO,"""2;""",INT64;FLOAT,ND;ND,"""32,32""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,1443,0.04,0.046,0.35,0.401,0.091,0.104,0.136,0.155,0.184,0.000
0,4294967295,395,92,_ZN9SplitFuse7FAInferIu6__bf16u6__bf16fLb1ELN12KernelCommon8FaiKenel8MaskTypeE0ELNS2_11inputLayoutE1ELN7Catlass8Epilogue8LseModeTE1ELb0EEEvmPhS8_S8_S8_S8_S8_S8_S8_S8_S8_S8_,_ZN9SplitFuse7FAInferIu6__bf16u6__bf16fLb1ELN12KernelCommon8FaiKenel8MaskTypeE0ELNS2_11inputLayoutE1ELN7Catlass8Epilogue8LseModeTE1ELb0EEEvmPhS8_S8_S8_S8_S8_S8_S8_S8_S8_S8_,dynamic,MIX_AIC,1788940802902479.894	,66.204,22.350000,20,40,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,54.439,1796477,7.471,0.137,40.49,0.744,22.4,0.411,41.062,0.754,12.682,0.233,0.0,55.908,3689918,5.596,0.1,18.228,0.326,5.608,0.1,4.202,0.075,0.088,82.229
0,4294967295,396,92,aclnnClampMin_ClipByValueV2AiCore_ClipByValueV2,ClipByValueV2,dynamic,AI_VECTOR_CORE,1788940802902834.322	,2.320,288.046000,1,0,NO,"""8;;""",INT32;INT32;INT32,ND;ND;ND,"""8""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.801,2972,0.132,0.073,0.706,0.392,0.365,0.203,0.142,0.079,0.168,0.000
0,4294967295,11,60,_Z17ComputeFAMetadataPv,_Z17ComputeFAMetadataPv,dynamic,AI_CPU,1788940802902948.626	,28.980,112.180000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,399,92,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1788940802903182.490	,1.440,204.770000,1,0,NO,"""2;""",INT64;FLOAT,ND;ND,"""32,32""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.893,1473,0.04,0.045,0.363,0.407,0.101,0.113,0.133,0.149,0.184,0.000
0,4294967295,400,92,_ZN9SplitFuse7FAInferIu6__bf16u6__bf16fLb1ELN12KernelCommon8FaiKenel8MaskTypeE0ELNS2_11inputLayoutE1ELN7Catlass8Epilogue8LseModeTE1ELb0EEEvmPhS8_S8_S8_S8_S8_S8_S8_S8_S8_S8_,_ZN9SplitFuse7FAInferIu6__bf16u6__bf16fLb1ELN12KernelCommon8FaiKenel8MaskTypeE0ELNS2_11inputLayoutE1ELN7Catlass8Epilogue8LseModeTE1ELb0EEEvmPhS8_S8_S8_S8_S8_S8_S8_S8_S8_S8_,dynamic,MIX_AIC,1788940802903213.570	,69.140,29.560000,20,40,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,57.08,1883627,7.471,0.131,41.574,0.728,22.316,0.391,43.914,0.769,13.248,0.232,0.0,58.568,3865512,5.597,0.096,18.442,0.315,5.932,0.101,4.228,0.072,0.088,82.557
