Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::to,,,7.55,7.55,0,0,0,0
aten::clamp_min,,,56.11,109.45,0,2.16,0,0
empty_tensor,,,37.1,37.1,0,0,0,0
aclnnClampMin,,,16.24,16.24,2.16,2.16,0,0
aten::empty,,,4.7,13.24,0,0,0,0
empty_tensor,,,8.54,8.54,0,0,0,0
ascendc_fa_metadata,,,3.33,3.33,24.900000000000002,24.900000000000002,0,0
FlashAttnVarlenFunc,,,125.97,442.37,0,68.624,0,0
flash_attn_npu_4::_flash_attn_forward,,,223.48,316.4,0,68.624,0,0
aten::empty_like,,,30.76,42.11,0,0,0,0
empty_tensor,,,11.35,11.35,0,0,0,0
aten::empty,,,2.05,5.14,0,0,0,0
empty_tensor,,,3.09,3.09,0,0,0,0
aten::empty,,,1.09,3.48,0,0,0,0
empty_tensor,,,2.39,2.39,0,0,0,0
aten::fill_,,,18.75,29.11,0,1.38,0,0
aclnnInplaceFillScalar,,,10.36,10.36,1.38,1.38,0,0
aten::empty,,,1.5,10.96,0,0,0,0
empty_tensor,,,9.46,9.46,0,0,0,0
ascendc_fa_infer,,,2.12,2.12,67.244,67.244,0,0
aten::view,,,83.56,83.56,0,0,0,0
record_event,,,13.14,13.14,0.02,0.02,0,0
record_event,,,12.93,12.93,0.0,0.0,0,0
aten::to,,,1.47,1.47,0,0,0,0
aten::clamp_min,,,16.33,53.34,0,2.18,0,0
empty_tensor,,,28.48,28.48,0,0,0,0
aclnnClampMin,,,8.53,8.53,2.18,2.18,0,0
aten::empty,,,2.51,9.11,0,0,0,0
empty_tensor,,,6.6,6.6,0,0,0,0
ascendc_fa_metadata,,,7.35,7.35,18.919999999999998,18.919999999999998,0,0
FlashAttnVarlenFunc,,,63.01,232.16,0,70.67999999999999,0,0
flash_attn_npu_4::_flash_attn_forward,,,115.89,169.15,0,70.67999999999999,0,0
aten::empty_like,,,6.02,14.45,0,0,0,0
empty_tensor,,,8.43,8.43,0,0,0,0
aten::empty,,,1.95,5.29,0,0,0,0
empty_tensor,,,3.34,3.34,0,0,0,0
aten::empty,,,0.99,3.21,0,0,0,0
empty_tensor,,,2.22,2.22,0,0,0,0
aten::fill_,,,12.38,23.1,0,1.44,0,0
aclnnInplaceFillScalar,,,10.72,10.72,1.44,1.44,0,0
aten::empty,,,1.22,5.35,0,0,0,0
empty_tensor,,,4.13,4.13,0,0,0,0
ascendc_fa_infer,,,1.86,1.86,69.24,69.24,0,0
aten::view,,,16.96,16.96,0,0,0,0
record_event,,,9.86,9.86,0.0,0.0,0,0
record_event,,,2.44,2.44,0.0,0.0,0,0
aten::to,,,1.13,1.13,0,0,0,0
aten::clamp_min,,,15.84,53.63,0,2.2,0,0
empty_tensor,,,19.28,19.28,0,0,0,0
aclnnClampMin,,,18.51,18.51,2.2,2.2,0,0
aten::empty,,,2.24,8.21,0,0,0,0
empty_tensor,,,5.97,5.97,0,0,0,0
ascendc_fa_metadata,,,7.08,7.08,26.240000000000002,26.240000000000002,0,0
FlashAttnVarlenFunc,,,61.29,228.26,0,70.564,0,0
flash_attn_npu_4::_flash_attn_forward,,,114.5,166.97,0,70.564,0,0
aten::empty_like,,,5.97,13.84,0,0,0,0
empty_tensor,,,7.87,7.87,0,0,0,0
aten::empty,,,1.74,4.74,0,0,0,0
empty_tensor,,,3.0,3.0,0,0,0,0
aten::empty,,,1.12,3.41,0,0,0,0
empty_tensor,,,2.29,2.29,0,0,0,0
aten::fill_,,,12.0,23.07,0,1.46,0,0
aclnnInplaceFillScalar,,,11.07,11.07,1.46,1.46,0,0
aten::empty,,,1.33,5.59,0,0,0,0
empty_tensor,,,4.26,4.26,0,0,0,0
ascendc_fa_infer,,,1.82,1.82,69.104,69.104,0,0
aten::view,,,9.44,9.44,0,0,0,0
record_event,,,9.46,9.46,0.02,0.02,0,0
record_event,,,2.38,2.38,0.0,0.0,0,0
aten::to,,,1.33,1.33,0,0,0,0
aten::clamp_min,,,16.16,44.07,0,2.16,0,0
empty_tensor,,,19.61,19.61,0,0,0,0
aclnnClampMin,,,8.3,8.3,2.16,2.16,0,0
aten::empty,,,2.37,8.48,0,0,0,0
empty_tensor,,,6.11,6.11,0,0,0,0
ascendc_fa_metadata,,,13.55,13.55,19.96,19.96,0,0
FlashAttnVarlenFunc,,,100.38,635.04,0,67.604,0,0
flash_attn_npu_4::_flash_attn_forward,,,380.39,534.66,0,67.604,0,0
aten::empty_like,,,25.7,76.76,0,0,0,0
empty_tensor,,,51.06,51.06,0,0,0,0
aten::empty,,,6.1,11.51,0,0,0,0
empty_tensor,,,5.41,5.41,0,0,0,0
aten::empty,,,1.05,3.65,0,0,0,0
empty_tensor,,,2.6,2.6,0,0,0,0
aten::fill_,,,34.66,47.4,0,1.4,0,0
aclnnInplaceFillScalar,,,12.74,12.74,1.4,1.4,0,0
aten::empty,,,1.49,9.79,0,0,0,0
empty_tensor,,,8.3,8.3,0,0,0,0
ascendc_fa_infer,,,5.16,5.16,66.204,66.204,0,0
aten::view,,,22.91,22.91,0,0,0,0
record_event,,,14.69,14.69,0.02,0.02,0,0
record_event,,,5.5,5.5,0.0,0.0,0,0
aten::to,,,2.93,2.93,0,0,0,0
aten::clamp_min,,,25.89,57.21,0,2.32,0,0
empty_tensor,,,25.73,25.73,0,0,0,0
aclnnClampMin,,,5.59,5.59,2.32,2.32,0,0
aten::empty,,,2.36,8.96,0,0,0,0
empty_tensor,,,6.6,6.6,0,0,0,0
ascendc_fa_metadata,,,5.28,5.28,43.84,43.84,0,0
FlashAttnVarlenFunc,,,77.5,267.51,0,70.58,0,0
flash_attn_npu_4::_flash_attn_forward,,,123.52,190.01,0,70.58,0,0
aten::empty_like,,,5.96,16.09,0,0,0,0
empty_tensor,,,10.13,10.13,0,0,0,0
aten::empty,,,1.88,4.86,0,0,0,0
empty_tensor,,,2.98,2.98,0,0,0,0
aten::empty,,,0.75,2.92,0,0,0,0
empty_tensor,,,2.17,2.17,0,0,0,0
aten::fill_,,,11.6,24.09,0,1.44,0,0
aclnnInplaceFillScalar,,,12.49,12.49,1.44,1.44,0,0
aten::empty,,,1.43,6.3,0,0,0,0
empty_tensor,,,4.87,4.87,0,0,0,0
ascendc_fa_infer,,,12.23,12.23,69.14,69.14,0,0
aten::view,,,8.88,8.88,0,0,0,0
record_event,,,7.84,7.84,0.016,0.016,0,0
record_event,,,1.96,1.96,0.0,0.0,0,0
