Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::resolve_conj,,,5.77,5.77,0,0,0,0
aten::resolve_neg,,,2.28,2.28,0,0,0,0
aten::to,,,5.01,160.57,0,0,0,0
aten::_to_copy,,,22.85,155.56,0,0,0,0
aten::empty,,,18.56,18.56,0,0,0,0
aten::copy_,,,114.15,114.15,0,0,0,0
npu::npu_fused_infer_attention_score,,,199.3,269.87,0,60.82,0,0
empty_tensor,,,40.79,40.79,0,0,0,0
empty_tensor,,,4.28,4.28,0,0,0,0
empty_tensor,,,2.3,2.3,0,0,0,0
empty_tensor,,,2.29,2.29,0,0,0,0
aclnnFusedInferAttentionScoreV3,,,20.91,20.91,60.82,60.82,0,0
aten::view,,,29.42,29.42,0,0,0,0
aten::resolve_conj,,,0.7,0.7,0,0,0,0
aten::resolve_neg,,,0.39,0.39,0,0,0,0
aten::to,,,1.49,90.01,0,0,0,0
aten::_to_copy,,,6.21,88.52,0,0,0,0
aten::empty,,,7.96,7.96,0,0,0,0
aten::copy_,,,74.35,74.35,0,0,0,0
npu::npu_fused_infer_attention_score,,,70.61,104.82,0,61.9,0,0
empty_tensor,,,11.36,11.36,0,0,0,0
empty_tensor,,,3.03,3.03,0,0,0,0
empty_tensor,,,2.35,2.35,0,0,0,0
empty_tensor,,,1.33,1.33,0,0,0,0
aclnnFusedInferAttentionScoreV3,,,16.14,16.14,61.9,61.9,0,0
aten::view,,,9.28,9.28,0,0,0,0
aten::resolve_conj,,,0.55,0.55,0,0,0,0
aten::resolve_neg,,,0.32,0.32,0,0,0,0
aten::to,,,1.41,81.03,0,0,0,0
aten::_to_copy,,,5.9,79.62,0,0,0,0
aten::empty,,,3.63,3.63,0,0,0,0
aten::copy_,,,70.09,70.09,0,0,0,0
npu::npu_fused_infer_attention_score,,,65.78,96.11,0,61.5,0,0
empty_tensor,,,9.47,9.47,0,0,0,0
empty_tensor,,,2.89,2.89,0,0,0,0
empty_tensor,,,2.21,2.21,0,0,0,0
empty_tensor,,,5.99,5.99,0,0,0,0
aclnnFusedInferAttentionScoreV3,,,9.77,9.77,61.5,61.5,0,0
aten::view,,,9.52,9.52,0,0,0,0
aten::resolve_conj,,,0.56,0.56,0,0,0,0
aten::resolve_neg,,,0.29,0.29,0,0,0,0
aten::to,,,1.37,76.88,0,0,0,0
aten::_to_copy,,,5.23,75.51,0,0,0,0
aten::empty,,,3.9,3.9,0,0,0,0
aten::copy_,,,66.38,66.38,0,0,0,0
npu::npu_fused_infer_attention_score,,,66.02,106.07,0,61.28,0,0
empty_tensor,,,14.31,14.31,0,0,0,0
empty_tensor,,,3.12,3.12,0,0,0,0
empty_tensor,,,2.25,2.25,0,0,0,0
empty_tensor,,,2.07,2.07,0,0,0,0
aclnnFusedInferAttentionScoreV3,,,18.3,18.3,61.28,61.28,0,0
aten::view,,,9.92,9.92,0,0,0,0
aten::resolve_conj,,,0.6,0.6,0,0,0,0
aten::resolve_neg,,,0.29,0.29,0,0,0,0
aten::to,,,1.28,75.74,0,0,0,0
aten::_to_copy,,,5.44,74.46,0,0,0,0
aten::empty,,,3.61,3.61,0,0,0,0
aten::copy_,,,65.41,65.41,0,0,0,0
npu::npu_fused_infer_attention_score,,,63.85,88.76,0,62.04,0,0
empty_tensor,,,9.51,9.51,0,0,0,0
empty_tensor,,,2.78,2.78,0,0,0,0
empty_tensor,,,2.32,2.32,0,0,0,0
empty_tensor,,,1.22,1.22,0,0,0,0
aclnnFusedInferAttentionScoreV3,,,9.08,9.08,62.04,62.04,0,0
aten::view,,,12.95,12.95,0,0,0,0
