Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,498,92,aclnnArange_ArangeAiCore_Range,Range,dynamic,AI_VECTOR_CORE,1788937371147519.684	,12.180,0,40,0,NO,""";;""",DOUBLE;DOUBLE;DOUBLE,ND;ND;ND,"""9""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.525,562636,0.029,0.003,0.202,0.024,0.11,0.013,0.029,0.003,0.289,0.000
0,4294967295,499,92,aclnnMuls_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1788937371147550.884	,1.480,19.070000,1,0,NO,"""9;""",INT32;INT32,ND;ND,"""9""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.955,1575,0.038,0.04,0.41,0.429,0.243,0.255,0.101,0.105,0.14,0.000
0,4294967295,500,92,aclnnClampMin_ClipByValueV2AiCore_ClipByValueV2,ClipByValueV2,dynamic,AI_VECTOR_CORE,1788937371147665.804	,2.480,113.270000,1,0,NO,"""8;;""",INT32;INT32;INT32,ND;ND;ND,"""8""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918,3165,0.132,0.069,0.664,0.346,0.317,0.165,0.13,0.068,0.185,0.000
0,4294967295,7,83,_Z17ComputeFAMetadataPv,_Z17ComputeFAMetadataPv,dynamic,AI_CPU,1788937371147876.188	,25.124,208.020000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,503,92,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1788937371148189.736	,1.560,288.376000,1,0,NO,"""2;""",INT64;FLOAT,ND;ND,"""16,32""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.015,1674,0.035,0.035,0.403,0.397,0.126,0.124,0.145,0.143,0.213,0.000
0,4294967295,504,92,_ZN9SplitFuse7FAInferIu6__bf16u6__bf16fLb1ELN12KernelCommon8FaiKenel8MaskTypeE0ELNS2_11inputLayoutE1ELN7Catlass8Epilogue8LseModeTE1ELb0EEEvmPhS8_S8_S8_S8_S8_S8_S8_S8_S8_S8_,_ZN9SplitFuse7FAInferIu6__bf16u6__bf16fLb1ELN12KernelCommon8FaiKenel8MaskTypeE0ELNS2_11inputLayoutE1ELN7Catlass8Epilogue8LseModeTE1ELb0EEEvmPhS8_S8_S8_S8_S8_S8_S8_S8_S8_S8_,dynamic,MIX_AIC,1788937371148214.036	,25.760,22.690000,20,40,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,15.102,498351,0.413,0.027,10.902,0.722,0.733,0.049,6.0,0.397,1.621,0.107,0.0,19.285,1272836,0.77,0.04,6.472,0.336,0.832,0.043,1.92,0.1,0.225,58.624
0,4294967295,505,92,aclnnArange_ArangeAiCore_Range,Range,dynamic,AI_VECTOR_CORE,1788937371148475.380	,12.140,235.740000,40,0,NO,""";;""",DOUBLE;DOUBLE;DOUBLE,ND;ND;ND,"""9""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.489,560289,0.029,0.003,0.204,0.024,0.105,0.012,0.029,0.003,0.292,0.000
0,4294967295,506,92,aclnnMuls_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1788937371148522.444	,2.000,34.860000,1,0,NO,"""9;""",INT32;INT32,ND;ND,"""9""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.458,2405,0.038,0.026,0.408,0.28,0.232,0.159,0.112,0.077,0.148,0.000
0,4294967295,507,92,aclnnClampMin_ClipByValueV2AiCore_ClipByValueV2,ClipByValueV2,dynamic,AI_VECTOR_CORE,1788937371148569.224	,2.660,44.750000,1,0,NO,"""8;;""",INT32;INT32;INT32,ND;ND;ND,"""8""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.108,3478,0.132,0.063,0.818,0.388,0.335,0.159,0.127,0.06,0.188,0.000
0,4294967295,7,89,_Z17ComputeFAMetadataPv,_Z17ComputeFAMetadataPv,dynamic,AI_CPU,1788937371148690.568	,27.600,118.590000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,510,92,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1788937371148898.472	,1.500,180.400000,1,0,NO,"""2;""",INT64;FLOAT,ND;ND,"""16,32""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.938,1548,0.035,0.037,0.373,0.397,0.101,0.108,0.139,0.148,0.203,0.000
0,4294967295,511,92,_ZN9SplitFuse7FAInferIu6__bf16u6__bf16fLb1ELN12KernelCommon8FaiKenel8MaskTypeE0ELNS2_11inputLayoutE1ELN7Catlass8Epilogue8LseModeTE1ELb0EEEvmPhS8_S8_S8_S8_S8_S8_S8_S8_S8_S8_,_ZN9SplitFuse7FAInferIu6__bf16u6__bf16fLb1ELN12KernelCommon8FaiKenel8MaskTypeE0ELNS2_11inputLayoutE1ELN7Catlass8Epilogue8LseModeTE1ELb0EEEvmPhS8_S8_S8_S8_S8_S8_S8_S8_S8_S8_,dynamic,MIX_AIC,1788937371148917.472	,24.340,17.500000,20,40,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,14.278,471178,0.411,0.029,10.587,0.741,0.738,0.052,5.198,0.364,1.491,0.104,0.0,18.571,1225670,0.77,0.041,6.27,0.338,0.729,0.039,2.262,0.122,0.227,58.661
0,4294967295,512,92,aclnnArange_ArangeAiCore_Range,Range,dynamic,AI_VECTOR_CORE,1788937371149089.736	,11.640,147.910000,40,0,NO,""";;""",DOUBLE;DOUBLE;DOUBLE,ND;ND;ND,"""9""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.677,506703,0.029,0.004,0.203,0.026,0.111,0.014,0.028,0.004,0.296,0.000
0,4294967295,513,92,aclnnMuls_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1788937371149129.436	,1.500,28.110000,1,0,NO,"""9;""",INT32;INT32,ND;ND,"""9""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.917,1513,0.038,0.042,0.399,0.435,0.216,0.235,0.118,0.129,0.157,0.000
0,4294967295,514,92,aclnnClampMin_ClipByValueV2AiCore_ClipByValueV2,ClipByValueV2,dynamic,AI_VECTOR_CORE,1788937371149176.536	,2.560,45.500000,1,0,NO,"""8;;""",INT32;INT32;INT32,ND;ND;ND,"""8""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.963,3239,0.132,0.067,0.672,0.342,0.316,0.161,0.119,0.061,0.195,0.000
0,4294967295,13,95,_Z17ComputeFAMetadataPv,_Z17ComputeFAMetadataPv,dynamic,AI_CPU,1788937371149273.976	,34.704,94.940000,1,0,NO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,517,92,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,dynamic,AI_VECTOR_CORE,1788937371149461.800	,1.580,153.046000,1,0,NO,"""2;""",INT64;FLOAT,ND;ND,"""16,32""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.968,1598,0.035,0.036,0.402,0.415,0.112,0.116,0.14,0.145,0.197,0.000
0,4294967295,518,92,_ZN9SplitFuse7FAInferIu6__bf16u6__bf16fLb1ELN12KernelCommon8FaiKenel8MaskTypeE0ELNS2_11inputLayoutE1ELN7Catlass8Epilogue8LseModeTE1ELb0EEEvmPhS8_S8_S8_S8_S8_S8_S8_S8_S8_S8_,_ZN9SplitFuse7FAInferIu6__bf16u6__bf16fLb1ELN12KernelCommon8FaiKenel8MaskTypeE0ELNS2_11inputLayoutE1ELN7Catlass8Epilogue8LseModeTE1ELb0EEEvmPhS8_S8_S8_S8_S8_S8_S8_S8_S8_S8_,dynamic,MIX_AIC,1788937371149481.500	,24.624,18.170000,20,40,NO,N/A,N/A,N/A,N/A,N/A,N/A,0,14.242,469981,0.411,0.029,10.597,0.744,0.741,0.052,4.381,0.308,1.202,0.084,0.0,18.168,1199087,0.769,0.042,6.844,0.377,0.975,0.054,1.473,0.081,0.229,57.837
