Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::arange,,,61.1,124.85,0,12.18,0,0
empty_tensor,,,45.71,45.71,0,0,0,0
aclnnArange,,,18.04,18.04,12.18,12.18,0,0
aten::mul,,,37.6,74.1,0,1.48,0,0
empty_tensor,,,7.1,7.1,0,0,0,0
aten::item,,,4.07,26.64,0,0,0,0
aten::_local_scalar_dense,,,22.57,22.57,0,0,0,0
aclnnMuls,,,2.76,2.76,1.48,1.48,0,0
aten::to,,,2.15,2.15,0,0,0,0
aten::clamp_min,,,19.37,34.39,0,2.48,0,0
empty_tensor,,,6.45,6.45,0,0,0,0
aclnnClampMin,,,8.57,8.57,2.48,2.48,0,0
aten::empty,,,4.28,10.27,0,0,0,0
empty_tensor,,,5.99,5.99,0,0,0,0
ascendc_fa_metadata,,,7.45,7.45,25.404,25.404,0,0
FlashAttnVarlenFunc,,,120.55,433.24,0,27.32,0,0
flash_attn_npu_4::_flash_attn_forward,,,227.0,312.69,0,27.32,0,0
aten::empty_like,,,23.44,34.28,0,0,0,0
empty_tensor,,,10.84,10.84,0,0,0,0
aten::empty,,,2.37,8.32,0,0,0,0
empty_tensor,,,5.95,5.95,0,0,0,0
aten::empty,,,0.91,3.3,0,0,0,0
empty_tensor,,,2.39,2.39,0,0,0,0
aten::fill_,,,17.49,27.7,0,1.56,0,0
aclnnInplaceFillScalar,,,10.21,10.21,1.56,1.56,0,0
aten::empty,,,1.52,10.33,0,0,0,0
empty_tensor,,,8.81,8.81,0,0,0,0
ascendc_fa_infer,,,1.76,1.76,25.76,25.76,0,0
aten::view,,,20.92,20.92,0,0,0,0
record_event,,,21.46,21.46,0.02,0.02,0,0
record_event,,,3.65,3.65,0.0,0.0,0,0
record_event,,,2.04,2.04,0.02,0.02,0,0
aten::arange,,,14.49,48.74,0,12.14,0,0
empty_tensor,,,26.42,26.42,0,0,0,0
