Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::resolve_conj,,,5.68,5.68,0,0,0,0
aten::resolve_neg,,,2.51,2.51,0,0,0,0
aten::to,,,5.27,157.01,0,0,0,0
aten::_to_copy,,,22.54,151.74,0,0,0,0
aten::empty,,,18.29,18.29,0,0,0,0
aten::copy_,,,110.91,110.91,0,0,0,0
npu::npu_fused_infer_attention_score,,,207.32,272.89,0,28.024,0,0
empty_tensor,,,40.93,40.93,0,0,0,0
empty_tensor,,,3.87,3.87,0,0,0,0
empty_tensor,,,2.44,2.44,0,0,0,0
empty_tensor,,,1.93,1.93,0,0,0,0
aclnnFusedInferAttentionScoreV3,,,16.4,16.4,28.024,28.024,0,0
aten::view,,,26.34,26.34,0,0,0,0
aten::resolve_conj,,,0.64,0.64,0,0,0,0
aten::resolve_neg,,,0.36,0.36,0,0,0,0
aten::to,,,1.68,117.03,0,0,0,0
aten::_to_copy,,,6.51,115.35,0,0,0,0
aten::empty,,,8.25,8.25,0,0,0,0
aten::copy_,,,100.59,100.59,0,0,0,0
npu::npu_fused_infer_attention_score,,,74.68,107.16,0,23.18,0,0
empty_tensor,,,11.61,11.61,0,0,0,0
empty_tensor,,,2.46,2.46,0,0,0,0
empty_tensor,,,2.41,2.41,0,0,0,0
empty_tensor,,,1.26,1.26,0,0,0,0
aclnnFusedInferAttentionScoreV3,,,14.74,14.74,23.18,23.18,0,0
aten::view,,,9.45,9.45,0,0,0,0
aten::resolve_conj,,,0.54,0.54,0,0,0,0
aten::resolve_neg,,,0.38,0.38,0,0,0,0
aten::to,,,1.5,63.35,0,0,0,0
aten::_to_copy,,,5.79,61.85,0,0,0,0
aten::empty,,,3.96,3.96,0,0,0,0
aten::copy_,,,52.1,52.1,0,0,0,0
npu::npu_fused_infer_attention_score,,,69.85,101.31,0,23.42,0,0
empty_tensor,,,9.68,9.68,0,0,0,0
empty_tensor,,,2.82,2.82,0,0,0,0
empty_tensor,,,2.36,2.36,0,0,0,0
empty_tensor,,,6.54,6.54,0,0,0,0
aclnnFusedInferAttentionScoreV3,,,10.06,10.06,23.42,23.42,0,0
aten::view,,,9.27,9.27,0,0,0,0
aten::resolve_conj,,,0.63,0.63,0,0,0,0
aten::resolve_neg,,,0.32,0.32,0,0,0,0
aten::to,,,1.55,111.94,0,0,0,0
aten::_to_copy,,,5.91,110.39,0,0,0,0
aten::empty,,,4.17,4.17,0,0,0,0
aten::copy_,,,100.31,100.31,0,0,0,0
npu::npu_fused_infer_attention_score,,,81.77,117.54,0,23.62,0,0
empty_tensor,,,17.9,17.9,0,0,0,0
empty_tensor,,,3.37,3.37,0,0,0,0
empty_tensor,,,2.41,2.41,0,0,0,0
empty_tensor,,,1.36,1.36,0,0,0,0
aclnnFusedInferAttentionScoreV3,,,10.73,10.73,23.62,23.62,0,0
aten::view,,,9.02,9.02,0,0,0,0
aten::resolve_conj,,,0.63,0.63,0,0,0,0
aten::resolve_neg,,,0.32,0.32,0,0,0,0
aten::to,,,1.74,110.44,0,0,0,0
aten::_to_copy,,,6.09,108.7,0,0,0,0
aten::empty,,,3.63,3.63,0,0,0,0
aten::copy_,,,98.98,98.98,0,0,0,0
npu::npu_fused_infer_attention_score,,,71.82,98.69,0,23.32,0,0
empty_tensor,,,11.42,11.42,0,0,0,0
empty_tensor,,,2.42,2.42,0,0,0,0
empty_tensor,,,2.32,2.32,0,0,0,0
empty_tensor,,,1.26,1.26,0,0,0,0
aclnnFusedInferAttentionScoreV3,,,9.45,9.45,23.32,23.32,0,0
aten::view,,,14.12,14.12,0,0,0,0
