Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Num,Mix Block Num,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,26,0,87,aclnnClampMin_ClipByValueV2AiCore_ClipByValueV2,ClipByValueV2,static,AI_VECTOR_CORE,1788943864735462.856	,2.060,0,1,0,NO,"""8;;""",INT32;INT32;INT32,ND;ND;ND,"""8""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.516,2502,0.132,0.087,0.521,0.344,0.298,0.197,0.111,0.073,0.173,0.000
0,4294967295,1,87,_Z17ComputeFAMetadataPv,_Z17ComputeFAMetadataPv,N/A,AI_CPU,1788943864735464.936	,20.940,0.190000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,26,2,87,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,static,AI_VECTOR_CORE,1788943864735485.896	,1.220,0.060000,1,0,NO,"""2;""",INT64;FLOAT,ND;ND,"""32,32""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.672,1109,0.04,0.06,0.16,0.238,0.084,0.125,0.156,0.232,0.194,0.000
0,4294967295,3,87,_ZN9SplitFuse7FAInferIu6__bf16u6__bf16fLb1ELN12KernelCommon8FaiKenel8MaskTypeE0ELNS2_11inputLayoutE1ELN7Catlass8Epilogue8LseModeTE1ELb0EEEvmPhS8_S8_S8_S8_S8_S8_S8_S8_S8_S8_,_ZN9SplitFuse7FAInferIu6__bf16u6__bf16fLb1ELN12KernelCommon8FaiKenel8MaskTypeE0ELNS2_11inputLayoutE1ELN7Catlass8Epilogue8LseModeTE1ELb0EEEvmPhS8_S8_S8_S8_S8_S8_S8_S8_S8_S8_,N/A,MIX_AIC,1788943864735488.216	,73.580,1.030000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,2042652,0.0,0.121,0.0,0.738,0.0,0.36,0.0,0.689,0.0,0.207,0.011,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.124
0,26,0,87,aclnnClampMin_ClipByValueV2AiCore_ClipByValueV2,ClipByValueV2,static,AI_VECTOR_CORE,1788943864735566.376	,1.980,4.670000,1,0,NO,"""8;;""",INT32;INT32;INT32,ND;ND;ND,"""8""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.434,2366,0.132,0.092,0.485,0.338,0.26,0.181,0.108,0.075,0.18,0.000
0,4294967295,1,87,_Z17ComputeFAMetadataPv,_Z17ComputeFAMetadataPv,N/A,AI_CPU,1788943864735568.376	,21.800,0.020000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,26,2,87,aclnnInplaceFillScalar_FillAiCore_Fill,Fill,static,AI_VECTOR_CORE,1788943864735590.196	,1.280,0.000000,1,0,NO,"""2;""",INT64;FLOAT,ND;ND,"""32,32""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.721,1189,0.04,0.056,0.161,0.224,0.09,0.124,0.162,0.225,0.194,0.000
0,4294967295,3,87,_ZN9SplitFuse7FAInferIu6__bf16u6__bf16fLb1ELN12KernelCommon8FaiKenel8MaskTypeE0ELNS2_11inputLayoutE1ELN7Catlass8Epilogue8LseModeTE1ELb0EEEvmPhS8_S8_S8_S8_S8_S8_S8_S8_S8_S8_,_ZN9SplitFuse7FAInferIu6__bf16u6__bf16fLb1ELN12KernelCommon8FaiKenel8MaskTypeE0ELNS2_11inputLayoutE1ELN7Catlass8Epilogue8LseModeTE1ELb0EEEvmPhS8_S8_S8_S8_S8_S8_S8_S8_S8_S8_,N/A,MIX_AIC,1788943864735592.776	,73.864,1.220000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0.0,2057651,0.0,0.12,0.0,0.743,0.0,0.358,0.0,0.696,0.0,0.214,0.011,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.416
0,26,0,87,aclnnClampMin_ClipByValueV2AiCore_ClipByValueV2,ClipByValueV2,static,AI_VECTOR_CORE,1788943864735671.160	,2.060,4.636000,1,0,NO,"""8;;""",INT32;INT32;INT32,ND;ND;ND,"""8""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.504,2482,0.132,0.088,0.507,0.337,0.266,0.177,0.107,0.071,0.169,0.000
0,4294967295,1,87,_Z17ComputeFAMetadataPv,_Z17ComputeFAMetadataPv,N/A,AI_CPU,1788943864735673.260	,16.180,0.000000,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
