Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::resolve_conj,,,4.74,4.74,0,0,0,0
aten::resolve_neg,,,1.39,1.39,0,0,0,0
aten::to,,,3.89,139.44,0,0,0,0
aten::_to_copy,,,16.75,135.55,0,0,0,0
aten::empty,,,10.24,10.24,0,0,0,0
aten::copy_,,,108.56,108.56,0,0,0,0
aten::resolve_conj,,,1.11,1.11,0,0,0,0
aten::resolve_neg,,,0.92,0.92,0,0,0,0
aten::to,,,1.11,101.19,0,0,0,0
aten::_to_copy,,,5.07,100.08,0,0,0,0
aten::empty,,,3.22,3.22,0,0,0,0
aten::copy_,,,91.79,91.79,0,0,0,0
aten::resolve_conj,,,0.74,0.74,0,0,0,0
aten::resolve_neg,,,0.74,0.74,0,0,0,0
aten::to,,,0.94,98.65,0,0,0,0
aten::_to_copy,,,4.3,97.71,0,0,0,0
aten::empty,,,2.75,2.75,0,0,0,0
aten::copy_,,,90.66,90.66,0,0,0,0
aten::resolve_conj,,,0.87,0.87,0,0,0,0
aten::resolve_neg,,,0.78,0.78,0,0,0,0
aten::to,,,0.93,98.19,0,0,0,0
aten::_to_copy,,,4.34,97.26,0,0,0,0
aten::empty,,,2.53,2.53,0,0,0,0
aten::copy_,,,90.39,90.39,0,0,0,0
aten::resolve_conj,,,0.74,0.74,0,0,0,0
aten::resolve_neg,,,0.79,0.79,0,0,0,0
aten::to,,,1.17,96.8,0,0,0,0
aten::_to_copy,,,3.87,95.63,0,0,0,0
aten::empty,,,2.73,2.73,0,0,0,0
aten::copy_,,,89.03,89.03,0,0,0,0
